,age,prev_year_min_avg,career_min_avg,prev_year_competition_Currie Cup,prev_year_competition_England Championship,prev_year_competition_England Premiership,prev_year_competition_NPC,prev_year_competition_National Rugby Championship,prev_year_competition_Pro D2,prev_year_competition_Super Rugby,prev_year_competition_Top 14,prev_year_competition_United Rugby Championship,competition_Currie Cup,competition_England Championship,competition_England Premiership,competition_NPC,competition_National Rugby Championship,competition_Pro D2,competition_Super Rugby,competition_Top 14,competition_United Rugby Championship,pred
34522,0.38461538461538464,0.80625,0.6266666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34526,0.4230769230769231,0.9550000000000001,0.8225806451612904,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34532,0.38461538461538464,0.9291666666666666,0.9076923076923077,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34542,0.4230769230769231,0.8111111111111111,0.8415178571428571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34555,0.38461538461538464,0.4875,0.3859375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34566,0.36538461538461536,0.8770833333333334,0.8770833333333334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34589,0.38461538461538464,0.4321428571428571,0.4321428571428571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34610,0.4230769230769231,0.1625,0.46749999999999997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34615,0.5576923076923077,0.35,0.23190789473684212,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
34618,0.5192307692307693,0.34625,0.23333333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34639,0.36538461538461536,0.66875,0.66875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34652,0.38461538461538464,0.5287499999999999,0.5287499999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34664,0.4423076923076923,0.5953125,0.7842857142857143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34677,0.38461538461538464,0.5017857142857143,0.5017857142857143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34688,0.5,0.7294642857142857,0.8755952380952381,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
34693,0.46153846153846156,0.7181818181818181,0.8822058823529412,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
34697,0.4230769230769231,0.896875,0.9018617021276596,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
34712,0.46153846153846156,0.50625,0.5098484848484849,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34719,0.5192307692307693,0.6174999999999999,0.38621794871794873,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34728,0.4230769230769231,0.4666666666666667,0.34471153846153846,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34739,0.46153846153846156,0.44722222222222224,0.3115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34741,0.4230769230769231,0.140625,0.21527777777777776,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34753,0.5192307692307693,0.775,0.6619318181818181,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34764,0.40384615384615385,0.728125,0.665,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34767,0.46153846153846156,0.8225,0.737,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
34778,0.38461538461538464,0.23125,0.23125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34790,0.46153846153846156,0.6,0.69875,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
34798,0.40384615384615385,0.5517857142857143,0.61375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34802,0.5961538461538461,1.0,0.7941964285714286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34822,0.46153846153846156,0.5513888888888889,0.4670454545454546,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34831,0.5192307692307693,0.87890625,0.8774621212121213,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
34835,0.4807692307692308,0.9088235294117647,0.8779999999999999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
34842,0.38461538461538464,0.7817307692307692,0.7817307692307692,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
34849,0.4423076923076923,0.6075,0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
34855,0.36538461538461536,0.8025,0.8025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34859,0.46153846153846156,1.0,0.911986301369863,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34864,0.4230769230769231,0.9232142857142858,0.8821808510638298,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34869,0.36538461538461536,0.9136363636363637,0.9136363636363637,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34880,0.4807692307692308,0.8641666666666667,0.8050403225806452,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
34913,0.38461538461538464,0.953125,0.8875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34917,0.40384615384615385,0.7395833333333333,0.5238636363636363,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34925,0.4230769230769231,1.0,0.8908333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34949,0.5,0.6125,0.42734375,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34950,0.4807692307692308,0.3903846153846154,0.31625000000000003,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
34952,0.46153846153846156,0.32395833333333335,0.2595588235294118,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
34992,0.4230769230769231,0.7931818181818182,0.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35006,0.4807692307692308,0.19861111111111113,0.3787037037037037,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
35024,0.36538461538461536,0.64625,0.6163461538461539,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35028,0.5384615384615384,0.46375,0.37161458333333336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35043,0.5384615384615384,0.734375,0.8400000000000001,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
35047,0.5,0.9527777777777778,0.9350961538461539,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35065,0.38461538461538464,0.7010416666666667,0.7010416666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35074,0.4230769230769231,0.7447916666666667,0.5862499999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35096,0.5384615384615384,0.575,0.5912280701754387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35110,0.38461538461538464,0.6022727272727273,0.50125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35121,0.36538461538461536,0.9784090909090908,0.9784090909090908,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35129,0.46153846153846156,1.0,0.8983108108108109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35134,0.4230769230769231,0.9556818181818182,0.959375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35152,0.46153846153846156,0.834375,0.9339912280701755,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
35157,0.4230769230769231,0.9330357142857142,0.9619318181818182,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
